name,rating,url
The Coca-Cola Company,4.1,https://www.glassdoor.com/Reviews/The-Coca-Cola-Company-Reviews-E161.htm
DaVita,3.4,https://www.glassdoor.com/Reviews/DaVita-Reviews-E5367.htm
Abercrombie & Fitch,3.6,https://www.glassdoor.com/Reviews/Abercrombie-and-Fitch-Reviews-E6756.htm
State Street,3.6,https://www.glassdoor.com/Reviews/State-Street-Reviews-E1911.htm
Cummins,4.2,https://www.glassdoor.com/Reviews/Cummins-Reviews-E187.htm
American Eagle Outfitters,3.5,https://www.glassdoor.com/Reviews/American-Eagle-Outfitters-Reviews-E2642.htm
Alorica,3.2,https://www.glassdoor.com/Reviews/Alorica-Reviews-E17814.htm
LinkedIn,4.3,https://www.glassdoor.com/Reviews/LinkedIn-Reviews-E34865.htm
USAA,3.4,https://www.glassdoor.com/Reviews/USAA-Reviews-E3033.htm
Pfizer,4.1,https://www.glassdoor.com/Reviews/Pfizer-Reviews-E525.htm
Trader Joe's,4.0,https://www.glassdoor.com/Reviews/Trader-Joe-s-Reviews-E5631.htm
Fujitsu,3.7,https://www.glassdoor.com/Reviews/Fujitsu-Reviews-E3524.htm
Schneider Electric,4.2,https://www.glassdoor.com/Reviews/Schneider-Electric-Reviews-E3956.htm
ExxonMobil,3.1,https://www.glassdoor.com/Reviews/ExxonMobil-Reviews-E237.htm
Nokia,4.2,https://www.glassdoor.com/Reviews/Nokia-Reviews-E3494.htm
Self Opportunity,4.3,https://www.glassdoor.com/Reviews/Self-Opportunity-Reviews-E320925.htm
Humana,3.9,https://www.glassdoor.com/Reviews/Humana-Reviews-E340.htm
Sephora,3.7,https://www.glassdoor.com/Reviews/Sephora-Reviews-E14590.htm
Boston Consulting Group,4.3,https://www.glassdoor.com/Reviews/Boston-Consulting-Group-Reviews-E3879.htm
TTEC,3.5,https://www.glassdoor.com/Reviews/TTEC-Reviews-E5944.htm
Olive Garden Italian Restaurants,3.7,https://www.glassdoor.com/Reviews/Olive-Garden-Italian-Restaurants-Reviews-E536862.htm
Forever 21,3.2,https://www.glassdoor.com/Reviews/Forever-21-Reviews-E13361.htm
AECOM,3.8,https://www.glassdoor.com/Reviews/AECOM-Reviews-E5632.htm
Caterpillar,4.0,https://www.glassdoor.com/Reviews/Caterpillar-Reviews-E137.htm
Rite Aid,3.1,https://www.glassdoor.com/Reviews/Rite-Aid-Reviews-E565.htm
JLL,3.9,https://www.glassdoor.com/Reviews/JLL-Reviews-E5779.htm
Michaels,3.2,https://www.glassdoor.com/Reviews/Michaels-Reviews-E945.htm
FIS,3.7,https://www.glassdoor.com/Reviews/FIS-Reviews-E313114.htm
Kelly,3.5,https://www.glassdoor.com/Reviews/Kelly-Reviews-E1564.htm
Fiserv,3.1,https://www.glassdoor.com/Reviews/Fiserv-Reviews-E1384.htm
NBCUniversal,4.1,https://www.glassdoor.com/Reviews/NBCUniversal-Reviews-E32038.htm
ServiceNow,4.4,https://www.glassdoor.com/Reviews/ServiceNow-Reviews-E403326.htm
GSK,4.1,https://www.glassdoor.com/Reviews/GSK-Reviews-E3477.htm
Mphasis,3.6,https://www.glassdoor.com/Reviews/Mphasis-Reviews-E29275.htm
TJ Maxx,3.5,https://www.glassdoor.com/Reviews/TJ-Maxx-Reviews-E242612.htm
HP Inc.,4.2,https://www.glassdoor.com/Reviews/HP-Inc-Reviews-E1093161.htm
Ascension,3.4,https://www.glassdoor.com/Reviews/Ascension-Reviews-E1036988.htm
Mastech Digital,4.2,https://www.glassdoor.com/Reviews/Mastech-Digital-Reviews-E32469.htm
Gartner,4.1,https://www.glassdoor.com/Reviews/Gartner-Reviews-E2465.htm
Travelers,4.1,https://www.glassdoor.com/Reviews/Travelers-Reviews-E1904.htm
Expedia Group,4.1,https://www.glassdoor.com/Reviews/Expedia-Group-Reviews-E9876.htm
Office Depot,3.2,https://www.glassdoor.com/Reviews/Office-Depot-Reviews-E1723.htm
AIG,3.7,https://www.glassdoor.com/Reviews/AIG-Reviews-E40.htm
Goodwill,3.3,https://www.glassdoor.com/Reviews/Goodwill-Reviews-E2802.htm
Shell,4.1,https://www.glassdoor.com/Reviews/Shell-Reviews-E5833.htm
Xerox,3.3,https://www.glassdoor.com/Reviews/Xerox-Reviews-E747.htm
Dollar Tree,3.0,https://www.glassdoor.com/Reviews/Dollar-Tree-Reviews-E4033.htm
Yelp,3.5,https://www.glassdoor.com/Reviews/Yelp-Reviews-E43314.htm
University of Washington,4.2,https://www.glassdoor.com/Reviews/University-of-Washington-Reviews-E3030.htm
Charles Schwab,3.8,https://www.glassdoor.com/Reviews/Charles-Schwab-Reviews-E144.htm
Johnson Controls,3.6,https://www.glassdoor.com/Reviews/Johnson-Controls-Reviews-E365.htm
Vanguard,3.7,https://www.glassdoor.com/Reviews/Vanguard-Reviews-E4084.htm
Pearson,3.7,https://www.glassdoor.com/Reviews/Pearson-Reviews-E3322.htm
Applebee's,3.5,https://www.glassdoor.com/Reviews/Applebee-s-Reviews-E1453.htm
Foundever,3.6,https://www.glassdoor.com/Reviews/Foundever-Reviews-E11480.htm
GameStop,2.9,https://www.glassdoor.com/Reviews/GameStop-Reviews-E1162.htm
CarMax,3.8,https://www.glassdoor.com/Reviews/CarMax-Reviews-E6561.htm
Barnes & Noble,3.7,https://www.glassdoor.com/Reviews/Barnes-and-Noble-Reviews-E2439.htm
Visa Inc.,4.1,https://www.glassdoor.com/Reviews/Visa-Inc-Reviews-E3035.htm
lululemon,4.3,https://www.glassdoor.com/Reviews/lululemon-Reviews-E42589.htm
Genpact,3.9,https://www.glassdoor.com/Reviews/Genpact-Reviews-E42613.htm
Merck,4.2,https://www.glassdoor.com/Reviews/Merck-Reviews-E438.htm
RSM,4.0,https://www.glassdoor.com/Reviews/RSM-Reviews-E691963.htm
Randstad US,3.7,https://www.glassdoor.com/Reviews/Randstad-US-Reviews-E18424.htm
The Cigna Group,3.6,https://www.glassdoor.com/Reviews/The-Cigna-Group-Reviews-E119.htm
Nielsen,3.7,https://www.glassdoor.com/Reviews/Nielsen-Reviews-E3776.htm
Adecco,3.7,https://www.glassdoor.com/Reviews/Adecco-Reviews-E1089.htm
L'Oréal,4.0,https://www.glassdoor.com/Reviews/L-Or%C3%A9al-Reviews-E3470.htm
Dillard's,3.1,https://www.glassdoor.com/Reviews/Dillard-s-Reviews-E202.htm
eBay,4.1,https://www.glassdoor.com/Reviews/eBay-Reviews-E7853.htm
Stryker,4.1,https://www.glassdoor.com/Reviews/Stryker-Reviews-E1918.htm
Lumen,3.5,https://www.glassdoor.com/Reviews/Lumen-Reviews-E248324.htm
UST,3.9,https://www.glassdoor.com/Reviews/UST-Reviews-E155577.htm
Manpower,4.2,https://www.glassdoor.com/Reviews/Manpower-Reviews-E2548.htm
Securitas,3.1,https://www.glassdoor.com/Reviews/Securitas-Reviews-E10656.htm
Sanofi,4.0,https://www.glassdoor.com/Reviews/Sanofi-Reviews-E9347.htm
Unilever,4.2,https://www.glassdoor.com/Reviews/Unilever-Reviews-E3513.htm
Yahoo,4.1,https://www.glassdoor.com/Reviews/Yahoo-Reviews-E5807.htm
KFC,3.5,https://www.glassdoor.com/Reviews/KFC-Reviews-E7860.htm
BlackRock,4.0,https://www.glassdoor.com/Reviews/BlackRock-Reviews-E9331.htm
H&R Block,3.7,https://www.glassdoor.com/Reviews/H-and-R-Block-Reviews-E303.htm
Fedex Express,3.6,https://www.glassdoor.com/Reviews/Fedex-Express-Reviews-E22767.htm
Stanford University,4.2,https://www.glassdoor.com/Reviews/Stanford-University-Reviews-E2989.htm
Hollister Co.,3.6,https://www.glassdoor.com/Reviews/Hollister-Co-Reviews-E466037.htm
Bed Bath & Beyond,3.3,https://www.glassdoor.com/Reviews/Bed-Bath-and-Beyond-Reviews-E1961.htm
Novartis,4.0,https://www.glassdoor.com/Reviews/Novartis-Reviews-E6667.htm
Conduent,3.1,https://www.glassdoor.com/Reviews/Conduent-Reviews-E1492856.htm
Elevance Health,3.7,https://www.glassdoor.com/Reviews/Elevance-Health-Reviews-E925157.htm
NYU (New York University),4.3,https://www.glassdoor.com/Reviews/NYU-New-York-University-Reviews-E2917.htm
Jacobs,4.0,https://www.glassdoor.com/Reviews/Jacobs-Reviews-E913.htm
Burlington Stores,3.1,https://www.glassdoor.com/Reviews/Burlington-Stores-Reviews-E114.htm
Merrill,3.8,https://www.glassdoor.com/Reviews/Merrill-Reviews-E440.htm
Aon,4.0,https://www.glassdoor.com/Reviews/Aon-Reviews-E53.htm
Providence,3.5,https://www.glassdoor.com/Reviews/Providence-Reviews-E4651.htm
Farmers Insurance Group,3.4,https://www.glassdoor.com/Reviews/Farmers-Insurance-Group-Reviews-E3955.htm
Jimmy John's,3.7,https://www.glassdoor.com/Reviews/Jimmy-John-s-Reviews-E15876.htm
WTW,3.9,https://www.glassdoor.com/Reviews/WTW-Reviews-E1122768.htm
Massage Envy,3.2,https://www.glassdoor.com/Reviews/Massage-Envy-Reviews-E114803.htm
AutoZone,3.3,https://www.glassdoor.com/Reviews/AutoZone-Reviews-E610.htm
Grant Thornton,3.9,https://www.glassdoor.com/Reviews/Grant-Thornton-Reviews-E100134.htm
Texas Instruments,4.1,https://www.glassdoor.com/Reviews/Texas-Instruments-Reviews-E651.htm
Samsung Electronics,3.8,https://www.glassdoor.com/Reviews/Samsung-Electronics-Reviews-E3363.htm
Nationwide,4.0,https://www.glassdoor.com/Reviews/Nationwide-Reviews-E2913.htm
UCLA,4.1,https://www.glassdoor.com/Reviews/UCLA-Reviews-E32524.htm
Cracker Barrel,3.3,https://www.glassdoor.com/Reviews/Cracker-Barrel-Reviews-E1308.htm
Cintas,3.6,https://www.glassdoor.com/Reviews/Cintas-Reviews-E1256.htm
Total Quality Logistics,4.1,https://www.glassdoor.com/Reviews/Total-Quality-Logistics-Reviews-E134523.htm
Centene,3.8,https://www.glassdoor.com/Reviews/Centene-Reviews-E13542.htm
Hertz,3.2,https://www.glassdoor.com/Reviews/Hertz-Reviews-E4071.htm
RBC,4.0,https://www.glassdoor.com/Reviews/RBC-Reviews-E3358.htm
McKesson,3.8,https://www.glassdoor.com/Reviews/McKesson-Reviews-E434.htm
MetLife,3.9,https://www.glassdoor.com/Reviews/MetLife-Reviews-E2899.htm
Buffalo Wild Wings,3.3,https://www.glassdoor.com/Reviews/Buffalo-Wild-Wings-Reviews-E8370.htm
Zensar Technologies,3.9,https://www.glassdoor.com/Reviews/Zensar-Technologies-Reviews-E255019.htm
Petco,3.0,https://www.glassdoor.com/Reviews/Petco-Reviews-E37962.htm
Hyatt,4.0,https://www.glassdoor.com/Reviews/Hyatt-Reviews-E2839.htm
Randstad,3.8,https://www.glassdoor.com/Reviews/Randstad-Reviews-E302306.htm
3M,3.7,https://www.glassdoor.com/Reviews/3M-Reviews-E446.htm
Bayer,3.9,https://www.glassdoor.com/Reviews/Bayer-Reviews-E4245.htm
Columbia University,4.1,https://www.glassdoor.com/Reviews/Columbia-University-Reviews-E2748.htm
Bain & Company,4.4,https://www.glassdoor.com/Reviews/Bain-and-Company-Reviews-E3752.htm
Instacart,3.6,https://www.glassdoor.com/Reviews/Instacart-Reviews-E714486.htm
