,employer_name,rating
621,CARVANA,2.9
622,US Census Bureau,4.0
623,Whataburger,3.4
624,SunTrust,3.8
625,Dignity Health,3.8
626,Stanley Black & Decker,3.5
627,TIAA,4.0
628,U-Haul,3.3
629,Enterprise Holdings,3.7
630,WeWork,3.6
631,Belk,3.3
632,Hitachi Vantara,3.4
633,Arm,4.2
634,Chewy,3.5
635,GoDaddy,3.7
636,AlphaSights,3.5
637,JOANN Stores,3.0
638,Infor,4.0
639,University of Arizona,4.2
640,BJ's Wholesale Club,3.1
641,Private,4.1
642,JetBlue,3.7
643,FedEx Office,3.4
644,KinderCare Learning Centers,2.9
645,Gallagher,3.5
646,IHG Hotels and Resorts,4.0
647,University of Illinois at Chicago,4.1
648,Sage,4.0
649,Navy Federal Credit Union,4.1
650,Wolters Kluwer,3.7
651,Siemens Healthineers,4.1
652,Grubhub,3.6
653,Georgia-Pacific,3.5
654,Stop & Shop,3.1
655,University of Miami,4.0
656,Ann Taylor,3.5
657,European Wax Center,3.2
658,Chubb,3.7
659,Ameriprise,3.8
660,Big Lots,3.2
661,Encompass Health,3.6
662,Volvo Group,4.1
663,North Carolina State University,4.3
664,Under Armour,3.9
665,Freddie Mac,3.4
666,HomeGoods,3.5
667,CA Technologies,3.4
668,Caesars Entertainment,3.4
669,Atrium Health,3.8
670,MedPro Healthcare Staffing,3.6
671,Illumina,3.8
672,Assurant,3.6
673,Northeastern University,4.2
674,Northwestern Medicine,3.8
675,Speedway LLC,2.9
676,TD Ameritrade,4.1
677,Advocate Aurora Health,3.8
678,Hogan Transportation Companies,3.5
679,TikTok,3.5
680,Fred Meyer,3.2
681,Tim Hortons,3.4
682,Kimberly-Clark,4.1
683,Compass Group,3.4
684,DuPont,3.9
685,Sutter Health,3.8
686,World Wide Technology,4.1
687,CVS Pharmacy,2.9
688,Crowe LLP,4.2
689,Fannie Mae,4.1
690,Genesis Healthcare,3.0
691,Huawei Technologies,3.7
692,Stellantis,3.6
693,Tractor Supply,3.6
694,ICF,3.8
695,Kindred Hospitals,3.2
696,IHS Markit,4.0
697,Giant Eagle,3.5
698,Waffle House,3.4
699,Anheuser-Busch InBev,3.8
700,NHS,3.7
701,BMO Financial Group,3.9
702,Republic Services,3.5
703,GlobalFoundries,3.4
704,M&T Bank,3.7
705,QuikTrip,3.9
706,Union Pacific,2.3
707,Aspen Dental,3.0
708,Rockwell Automation,3.9
709,Winn-Dixie,3.4
710,Hallmark,3.7
711,Stitch Fix,3.2
712,CDK Global,3.0
713,US Foods,3.5
714,The Fresh Market,3.2
715,Lenovo,4.0
716,Kantar,3.7
717,Unisys,3.7
718,Huntington National Bank,3.7
719,NOV,3.7
720,Reynolds and Reynolds,3.5
721,SSM Health,3.5
722,Mercy,3.6
723,Ace Hardware,3.8
724,Parker Hannifin,3.8
725,David's Bridal,3.3
726,UnitedHealthCare,3.6
727,Ogilvy,3.7
728,UNC Chapel Hill,4.0
729,Sally Beauty,3.1
730,Motorola Mobility,4.0
731,Avis Budget Group,3.4
732,IRS,3.6
733,DoorDash,3.7
734,University of Georgia,4.2
735,MITRE,3.0
736,Coach,4.0
737,Stericycle,3.1
738,Nutanix,4.2
739,SAS,4.1
740,Mathnasium,4.1
741,BDO,3.7
742,Syneos Health,3.8
743,Ryder System,3.5
744,Alight Solutions,3.5
745,Compunnel,4.3
746,UC Irvine,4.3
747,Epsilon,3.9
748,ProMedica Senior Care,3.3
749,Boehringer Ingelheim,4.2
750,Thales,3.7
751,Levi Strauss,3.9
752,Kellogg Company,3.9
753,Vanderbilt University Medical Center,3.7
754,Home Instead,3.5
755,Cellular Sales,3.6
756,Airbnb,4.4
757,Truist,3.5
758,Gap Inc.,3.6
759,Success Academy Charter Schools,2.7
760,Memorial Hermann Health System,3.9
761,Chicago Public Schools,3.4
762,Gensler,4.0
763,Inova,3.8
764,Five Guys Burgers & Fries,3.6
765,CHI,3.4
766,Ipsos,3.6
767,National Instruments,3.9
768,CoStar Group,2.9
769,RadioShack,3.3
770,Brigham and Women's Hospital,3.8
771,Pier 1 Imports,3.8
772,US Coast Guard,4.1
773,Boston Children's Hospital,4.0
774,CROSSMARK,3.3
775,Tyson Foods,3.5
776,R.R. Donnelley,3.4
777,Virginia Tech,4.2
778,Cinemark,3.7
779,athenahealth,3.9
780,Akamai,4.4
781,Zimmer Biomet,3.7
782,Red Bull,4.2
783,The Children's Place,3.3
784,Party City,3.2
785,University of Colorado Boulder,4.2
786,MarketSource,3.2
787,Bob Evans Restaurants,3.7
788,None of Your Business Boutique,4.2
789,Marsh McLennan,4.0
790,General Atomics,3.6
791,Advisory Board,3.9
792,Carnegie Mellon University,4.4
793,Nestlé Purina U.S.,3.7
794,Qualtrics,3.8
795,Arcadis,4.1
796,Marlabs,3.7
797,United Wholesale Mortgage (UWM),2.7
798,Seagate Technology,3.6
799,IGATE,3.9
800,EXL Service,3.8
801,iHeartMedia,3.2
802,Reckitt,3.8
803,Windstream,3.3
804,Sheetz,3.8
805,BT,3.4
806,Cross Country Nurses,3.9
807,Social Security Administration,3.1
808,Nuance,4.0
809,West Technology Group,3.7
810,Catalent Pharma,3.2
811,BB&T,3.4
812,Pacific Gas and Electric,4.0
813,Magna International,3.7
814,loanDepot,3.2
815,Kearney,4.2
816,Better,2.9
